votes	first	second	third
1	DOUG MANN	JEFFREY ALAN WAGNER	STEPHANIE WOODRUFF
1	DOUG MANN	JEFFREY ALAN WAGNER	JAMES EVERETT
1	DOUG MANN	JEFFREY ALAN WAGNER	CAPTAIN JACK SPARROW
1	DOUG MANN	JAYMIE KELLY	UWI
1	DOUG MANN	JAYMIE KELLY	STEPHANIE WOODRUFF
1	DOUG MANN	JAYMIE KELLY	MARK V ANDERSON
1	DOUG MANN	JAYMIE KELLY	BOB FINE
1	DOUG MANN	JAMES EVERETT	UWI
1	DOUG MANN	JAMES EVERETT	NEAL BAXTER
1	DOUG MANN	JAMES EVERETT	MARK V ANDERSON
1	DOUG MANN	JAMES EVERETT	DAN COHEN
1	DOUG MANN	JAMES EVERETT	CYD GORMAN
1	DOUG MANN	JAMES EVERETT	CAM WINTON
1	DOUG MANN	JAMES EVERETT	BOB FINE
1	DOUG MANN	JAMES EVERETT	"BOB ""AGAIN"" CARNEY JR"
1	DOUG MANN	JACKIE CHERRYHOMES	undervote
1	DOUG MANN	JACKIE CHERRYHOMES	TONY LANE
1	DOUG MANN	JACKIE CHERRYHOMES	CAPTAIN JACK SPARROW
1	DOUG MANN	JACKIE CHERRYHOMES	BETSY HODGES
1	DOUG MANN	GREGG A. IVERSON	MIKE GOULD
1	DOUG MANN	GREGG A. IVERSON	BETSY HODGES
1	DOUG MANN	DOUG MANN	CAPTAIN JACK SPARROW
1	DOUG MANN	DON SAMUELS	STEPHANIE WOODRUFF
1	DOUG MANN	DON SAMUELS	MIKE GOULD
1	DOUG MANN	DON SAMUELS	JACKIE CHERRYHOMES
1	DOUG MANN	DON SAMUELS	EDMUND BERNARD BRUYERE
1	DOUG MANN	DON SAMUELS	CAM WINTON
1	DOUG MANN	DAN COHEN	undervote
1	DOUG MANN	DAN COHEN	UWI
1	DOUG MANN	DAN COHEN	TONY LANE
1	DOUG MANN	DAN COHEN	STEPHANIE WOODRUFF
1	DOUG MANN	DAN COHEN	NEAL BAXTER
1	DOUG MANN	DAN COHEN	KURTIS W. HANNA
1	DOUG MANN	DAN COHEN	JAMES EVERETT
1	DOUG MANN	DAN COHEN	DON SAMUELS
1	DOUG MANN	DAN COHEN	CHRISTOPHER CLARK
1	DOUG MANN	DAN COHEN	CAM WINTON
1	DOUG MANN	DAN COHEN	BILL KAHN
1	DOUG MANN	CYD GORMAN	TONY LANE
1	DOUG MANN	CYD GORMAN	MARK V ANDERSON
1	DOUG MANN	CYD GORMAN	JOSHUA REA
1	DOUG MANN	CHRISTOPHER ROBIN ZIMMERMAN	KURTIS W. HANNA
1	DOUG MANN	CHRISTOPHER ROBIN ZIMMERMAN	DAN COHEN
1	DOUG MANN	CHRISTOPHER CLARK	RAHN V. WORKCUFF
1	DOUG MANN	CHRISTOPHER CLARK	NEAL BAXTER
1	DOUG MANN	CHRISTOPHER CLARK	MIKE GOULD
1	DOUG MANN	CHRISTOPHER CLARK	CHRISTOPHER CLARK
1	DOUG MANN	CHRISTOPHER CLARK	CAPTAIN JACK SPARROW
1	DOUG MANN	CHRISTOPHER CLARK	BILL KAHN
1	DOUG MANN	CAPTAIN JACK SPARROW	undervote
1	DOUG MANN	CAPTAIN JACK SPARROW	OLE SAVIOR
1	DOUG MANN	CAPTAIN JACK SPARROW	MARK V ANDERSON
1	DOUG MANN	CAPTAIN JACK SPARROW	MARK ANDREW
1	DOUG MANN	CAPTAIN JACK SPARROW	KURTIS W. HANNA
1	DOUG MANN	CAPTAIN JACK SPARROW	JEFFREY ALAN WAGNER
1	DOUG MANN	CAPTAIN JACK SPARROW	CAM WINTON
1	DOUG MANN	CAPTAIN JACK SPARROW	"ABDUL M RAHAMAN ""THE ROCK"""
1	DOUG MANN	CAM WINTON	undervote
1	DOUG MANN	CAM WINTON	RAHN V. WORKCUFF
1	DOUG MANN	CAM WINTON	JOHN CHARLES WILSON
1	DOUG MANN	CAM WINTON	BOB FINE
1	DOUG MANN	BOB FINE	undervote
1	DOUG MANN	BOB FINE	TONY LANE
1	DOUG MANN	BOB FINE	STEPHANIE WOODRUFF
1	DOUG MANN	BOB FINE	MERRILL ANDERSON
1	DOUG MANN	BOB FINE	DON SAMUELS
1	DOUG MANN	BOB FINE	CAPTAIN JACK SPARROW
1	DOUG MANN	BILL KAHN	BOB FINE
1	DOUG MANN	BETSY HODGES	RAHN V. WORKCUFF
1	DOUG MANN	BETSY HODGES	NEAL BAXTER
1	DOUG MANN	BETSY HODGES	MIKE GOULD
1	DOUG MANN	BETSY HODGES	JOSHUA REA
1	DOUG MANN	BETSY HODGES	CYD GORMAN
1	DOUG MANN	ALICIA K. BENNETT	KURTIS W. HANNA
1	DOUG MANN	ALICIA K. BENNETT	DAN COHEN
1	DOUG MANN	ALICIA K. BENNETT	BOB FINE
1	DOUG MANN	"BOB ""AGAIN"" CARNEY JR"	NEAL BAXTER
1	DOUG MANN	"BOB ""AGAIN"" CARNEY JR"	MARK ANDREW
1	DOUG MANN	"ABDUL M RAHAMAN ""THE ROCK"""	MARK V ANDERSON
1	DON SAMUELS	undervote	DON SAMUELS
1	DON SAMUELS	undervote	DAN COHEN
1	DON SAMUELS	undervote	BETSY HODGES
1	DON SAMUELS	overvote	MARK ANDREW
1	DON SAMUELS	overvote	ALICIA K. BENNETT
1	DON SAMUELS	UWI	undervote
1	DON SAMUELS	UWI	TONY LANE
1	DON SAMUELS	TROY BENJEGERDES	STEPHANIE WOODRUFF
1	DON SAMUELS	TROY BENJEGERDES	MARK ANDREW
1	DON SAMUELS	TROY BENJEGERDES	JAYMIE KELLY
1	DON SAMUELS	TROY BENJEGERDES	DOUG MANN
1	DON SAMUELS	TROY BENJEGERDES	BOB FINE
1	DON SAMUELS	TROY BENJEGERDES	BETSY HODGES
1	DON SAMUELS	TONY LANE	undervote
1	DON SAMUELS	TONY LANE	UWI
1	DON SAMUELS	TONY LANE	STEPHANIE WOODRUFF
1	DON SAMUELS	TONY LANE	MARK V ANDERSON
1	DON SAMUELS	TONY LANE	MARK ANDREW
1	DON SAMUELS	TONY LANE	KURTIS W. HANNA
1	DON SAMUELS	TONY LANE	JACKIE CHERRYHOMES
1	DON SAMUELS	TONY LANE	DOUG MANN
1	DON SAMUELS	TONY LANE	DAN COHEN
1	DON SAMUELS	STEPHANIE WOODRUFF	STEPHANIE WOODRUFF
1	DON SAMUELS	STEPHANIE WOODRUFF	OLE SAVIOR
1	DON SAMUELS	STEPHANIE WOODRUFF	KURTIS W. HANNA
1	DON SAMUELS	STEPHANIE WOODRUFF	JOHN LESLIE HARTWIG
1	DON SAMUELS	STEPHANIE WOODRUFF	DON SAMUELS
1	DON SAMUELS	STEPHANIE WOODRUFF	CHRISTOPHER CLARK
1	DON SAMUELS	RAHN V. WORKCUFF	NEAL BAXTER
1	DON SAMUELS	RAHN V. WORKCUFF	JAMES EVERETT
1	DON SAMUELS	RAHN V. WORKCUFF	JACKIE CHERRYHOMES
1	DON SAMUELS	RAHN V. WORKCUFF	DON SAMUELS
1	DON SAMUELS	RAHN V. WORKCUFF	CHRISTOPHER CLARK
1	DON SAMUELS	RAHN V. WORKCUFF	CAPTAIN JACK SPARROW
1	DON SAMUELS	OLE SAVIOR	STEPHANIE WOODRUFF
1	DON SAMUELS	OLE SAVIOR	RAHN V. WORKCUFF
1	DON SAMUELS	OLE SAVIOR	MARK ANDREW
1	DON SAMUELS	OLE SAVIOR	JOSHUA REA
1	DON SAMUELS	OLE SAVIOR	JEFFREY ALAN WAGNER
1	DON SAMUELS	OLE SAVIOR	JAYMIE KELLY
1	DON SAMUELS	OLE SAVIOR	JACKIE CHERRYHOMES
1	DON SAMUELS	OLE SAVIOR	DAN COHEN
1	DON SAMUELS	OLE SAVIOR	CHRISTOPHER ROBIN ZIMMERMAN
1	DON SAMUELS	NEAL BAXTER	undervote
1	DON SAMUELS	NEAL BAXTER	OLE SAVIOR
1	DON SAMUELS	NEAL BAXTER	MARK V ANDERSON
1	DON SAMUELS	NEAL BAXTER	MARK ANDREW
1	DON SAMUELS	NEAL BAXTER	JOSHUA REA
1	DON SAMUELS	NEAL BAXTER	JAMES EVERETT
1	DON SAMUELS	NEAL BAXTER	GREGG A. IVERSON
1	DON SAMUELS	NEAL BAXTER	CHRISTOPHER CLARK
1	DON SAMUELS	NEAL BAXTER	CAM WINTON
1	DON SAMUELS	NEAL BAXTER	BOB FINE
1	DON SAMUELS	MIKE GOULD	undervote
1	DON SAMUELS	MIKE GOULD	NEAL BAXTER
1	DON SAMUELS	MIKE GOULD	JACKIE CHERRYHOMES
1	DON SAMUELS	MIKE GOULD	DAN COHEN
1	DON SAMUELS	MIKE GOULD	"ABDUL M RAHAMAN ""THE ROCK"""
1	DON SAMUELS	MERRILL ANDERSON	undervote
1	DON SAMUELS	MERRILL ANDERSON	NEAL BAXTER
1	DON SAMUELS	MERRILL ANDERSON	MARK ANDREW
1	DON SAMUELS	MERRILL ANDERSON	KURTIS W. HANNA
1	DON SAMUELS	MERRILL ANDERSON	JAYMIE KELLY
1	DON SAMUELS	MERRILL ANDERSON	DON SAMUELS
1	DON SAMUELS	MERRILL ANDERSON	CYD GORMAN
1	DON SAMUELS	MERRILL ANDERSON	"BOB ""AGAIN"" CARNEY JR"
1	DON SAMUELS	MARK V ANDERSON	UWI
1	DON SAMUELS	MARK V ANDERSON	TROY BENJEGERDES
1	DON SAMUELS	MARK V ANDERSON	TONY LANE
1	DON SAMUELS	MARK V ANDERSON	STEPHANIE WOODRUFF
1	DON SAMUELS	MARK V ANDERSON	JAYMIE KELLY
1	DON SAMUELS	MARK V ANDERSON	DOUG MANN
1	DON SAMUELS	MARK V ANDERSON	DAN COHEN
1	DON SAMUELS	MARK V ANDERSON	ALICIA K. BENNETT
1	DON SAMUELS	MARK V ANDERSON	"BOB ""AGAIN"" CARNEY JR"
1	DON SAMUELS	MARK V ANDERSON	"ABDUL M RAHAMAN ""THE ROCK"""
1	DON SAMUELS	MARK ANDREW	RAHN V. WORKCUFF
1	DON SAMUELS	MARK ANDREW	KURTIS W. HANNA
1	DON SAMUELS	MARK ANDREW	JOHN LESLIE HARTWIG
1	DON SAMUELS	MARK ANDREW	EDMUND BERNARD BRUYERE
1	DON SAMUELS	MARK ANDREW	CHRISTOPHER ROBIN ZIMMERMAN
1	DON SAMUELS	MARK ANDREW	"BOB ""AGAIN"" CARNEY JR"
1	DON SAMUELS	KURTIS W. HANNA	JOSHUA REA
1	DON SAMUELS	KURTIS W. HANNA	JAYMIE KELLY
1	DON SAMUELS	KURTIS W. HANNA	JAMES EVERETT
1	DON SAMUELS	KURTIS W. HANNA	CAPTAIN JACK SPARROW
1	DON SAMUELS	KURTIS W. HANNA	BILL KAHN
1	DON SAMUELS	JOSHUA REA	undervote
1	DON SAMUELS	JOSHUA REA	TROY BENJEGERDES
1	DON SAMUELS	JOSHUA REA	JEFFREY ALAN WAGNER
1	DON SAMUELS	JOSHUA REA	JACKIE CHERRYHOMES
1	DON SAMUELS	JOSHUA REA	EDMUND BERNARD BRUYERE
1	DON SAMUELS	JOSHUA REA	DOUG MANN
1	DON SAMUELS	JOSHUA REA	CYD GORMAN
1	DON SAMUELS	JOSHUA REA	CAM WINTON
1	DON SAMUELS	JOSHUA REA	BOB FINE
1	DON SAMUELS	JOSHUA REA	BILL KAHN
1	DON SAMUELS	JOHN LESLIE HARTWIG	OLE SAVIOR
1	DON SAMUELS	JOHN LESLIE HARTWIG	NEAL BAXTER
1	DON SAMUELS	JOHN CHARLES WILSON	TROY BENJEGERDES
1	DON SAMUELS	JOHN CHARLES WILSON	MARK V ANDERSON
1	DON SAMUELS	JEFFREY ALAN WAGNER	undervote
1	DON SAMUELS	JEFFREY ALAN WAGNER	UWI
1	DON SAMUELS	JEFFREY ALAN WAGNER	MARK ANDREW
1	DON SAMUELS	JEFFREY ALAN WAGNER	JACKIE CHERRYHOMES
1	DON SAMUELS	JEFFREY ALAN WAGNER	CHRISTOPHER ROBIN ZIMMERMAN
1	DON SAMUELS	JEFFREY ALAN WAGNER	CAPTAIN JACK SPARROW
1	DON SAMUELS	JAYMIE KELLY	OLE SAVIOR
1	DON SAMUELS	JAYMIE KELLY	MARK ANDREW
1	DON SAMUELS	JAYMIE KELLY	JACKIE CHERRYHOMES
1	DON SAMUELS	JAYMIE KELLY	DOUG MANN
1	DON SAMUELS	JAYMIE KELLY	DON SAMUELS
1	DON SAMUELS	JAYMIE KELLY	CAM WINTON
1	DON SAMUELS	JAMES EVERETT	GREGG A. IVERSON
1	DON SAMUELS	JAMES EVERETT	DON SAMUELS
1	DON SAMUELS	JAMES EVERETT	DAN COHEN
1	DON SAMUELS	JAMES EVERETT	BOB FINE
1	DON SAMUELS	JAMES EVERETT	"ABDUL M RAHAMAN ""THE ROCK"""
1	DON SAMUELS	JACKIE CHERRYHOMES	TROY BENJEGERDES
1	DON SAMUELS	JACKIE CHERRYHOMES	KURTIS W. HANNA
1	DON SAMUELS	JACKIE CHERRYHOMES	JOHN LESLIE HARTWIG
1	DON SAMUELS	JACKIE CHERRYHOMES	EDMUND BERNARD BRUYERE
1	DON SAMUELS	JACKIE CHERRYHOMES	CHRISTOPHER ROBIN ZIMMERMAN
1	DON SAMUELS	JACKIE CHERRYHOMES	CHRISTOPHER CLARK
1	DON SAMUELS	GREGG A. IVERSON	undervote
1	DON SAMUELS	GREGG A. IVERSON	MIKE GOULD
1	DON SAMUELS	GREGG A. IVERSON	MARK ANDREW
1	DON SAMUELS	GREGG A. IVERSON	JOSHUA REA
1	DON SAMUELS	GREGG A. IVERSON	JEFFREY ALAN WAGNER
1	DON SAMUELS	GREGG A. IVERSON	DAN COHEN
1	DON SAMUELS	GREGG A. IVERSON	CAM WINTON
1	DON SAMUELS	GREGG A. IVERSON	BOB FINE
1	DON SAMUELS	GREGG A. IVERSON	"ABDUL M RAHAMAN ""THE ROCK"""
1	DON SAMUELS	EDMUND BERNARD BRUYERE	CAPTAIN JACK SPARROW
1	DON SAMUELS	EDMUND BERNARD BRUYERE	BETSY HODGES
1	DON SAMUELS	DOUG MANN	undervote
1	DON SAMUELS	DOUG MANN	STEPHANIE WOODRUFF
1	DON SAMUELS	DOUG MANN	OLE SAVIOR
1	DON SAMUELS	DOUG MANN	KURTIS W. HANNA
1	DON SAMUELS	DOUG MANN	JOSHUA REA
1	DON SAMUELS	DOUG MANN	JOHN LESLIE HARTWIG
1	DON SAMUELS	DOUG MANN	JOHN CHARLES WILSON
1	DON SAMUELS	DOUG MANN	JAYMIE KELLY
1	DON SAMUELS	DOUG MANN	CYD GORMAN
1	DON SAMUELS	DOUG MANN	CHRISTOPHER ROBIN ZIMMERMAN
1	DON SAMUELS	DOUG MANN	CAPTAIN JACK SPARROW
1	DON SAMUELS	DOUG MANN	CAM WINTON
1	DON SAMUELS	DOUG MANN	ALICIA K. BENNETT
1	DON SAMUELS	DON SAMUELS	JOSHUA REA
1	DON SAMUELS	DON SAMUELS	JAYMIE KELLY
1	DON SAMUELS	DON SAMUELS	GREGG A. IVERSON
1	DON SAMUELS	DON SAMUELS	DAN COHEN
1	DON SAMUELS	DON SAMUELS	CHRISTOPHER ROBIN ZIMMERMAN
1	DON SAMUELS	DON SAMUELS	CHRISTOPHER CLARK
1	DON SAMUELS	DON SAMUELS	CAM WINTON
1	DON SAMUELS	DAN COHEN	TROY BENJEGERDES
1	DON SAMUELS	DAN COHEN	RAHN V. WORKCUFF
1	DON SAMUELS	DAN COHEN	NEAL BAXTER
1	DON SAMUELS	DAN COHEN	MIKE GOULD
1	DON SAMUELS	DAN COHEN	KURTIS W. HANNA
1	DON SAMUELS	DAN COHEN	DON SAMUELS
1	DON SAMUELS	DAN COHEN	DAN COHEN
1	DON SAMUELS	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN
1	DON SAMUELS	DAN COHEN	BILL KAHN
1	DON SAMUELS	DAN COHEN	"BOB ""AGAIN"" CARNEY JR"
1	DON SAMUELS	CYD GORMAN	DAN COHEN
1	DON SAMUELS	CYD GORMAN	CHRISTOPHER CLARK
1	DON SAMUELS	CYD GORMAN	CAPTAIN JACK SPARROW
1	DON SAMUELS	CYD GORMAN	CAM WINTON
1	DON SAMUELS	CYD GORMAN	BETSY HODGES
1	DON SAMUELS	CHRISTOPHER ROBIN ZIMMERMAN	undervote
1	DON SAMUELS	CHRISTOPHER ROBIN ZIMMERMAN	STEPHANIE WOODRUFF
1	DON SAMUELS	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK
1	DON SAMUELS	CHRISTOPHER ROBIN ZIMMERMAN	BILL KAHN
1	DON SAMUELS	CHRISTOPHER CLARK	NEAL BAXTER
1	DON SAMUELS	CHRISTOPHER CLARK	DOUG MANN
1	DON SAMUELS	CHRISTOPHER CLARK	DAN COHEN
1	DON SAMUELS	CHRISTOPHER CLARK	BOB FINE
1	DON SAMUELS	CAPTAIN JACK SPARROW	STEPHANIE WOODRUFF
1	DON SAMUELS	CAPTAIN JACK SPARROW	JAMES EVERETT
1	DON SAMUELS	CAPTAIN JACK SPARROW	GREGG A. IVERSON
1	DON SAMUELS	CAPTAIN JACK SPARROW	CHRISTOPHER CLARK
1	DON SAMUELS	CAPTAIN JACK SPARROW	"ABDUL M RAHAMAN ""THE ROCK"""
1	DON SAMUELS	CAM WINTON	JOSHUA REA
1	DON SAMUELS	CAM WINTON	JOHN LESLIE HARTWIG
1	DON SAMUELS	CAM WINTON	JOHN CHARLES WILSON
1	DON SAMUELS	CAM WINTON	JEFFREY ALAN WAGNER
1	DON SAMUELS	CAM WINTON	JAMES EVERETT
1	DON SAMUELS	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN
1	DON SAMUELS	CAM WINTON	"BOB ""AGAIN"" CARNEY JR"
1	DON SAMUELS	CAM WINTON	"ABDUL M RAHAMAN ""THE ROCK"""
1	DON SAMUELS	BOB FINE	MIKE GOULD
1	DON SAMUELS	BOB FINE	JEFFREY ALAN WAGNER
1	DON SAMUELS	BOB FINE	JAYMIE KELLY
1	DON SAMUELS	BOB FINE	JAMES EVERETT
1	DON SAMUELS	BOB FINE	DOUG MANN
1	DON SAMUELS	BOB FINE	CHRISTOPHER ROBIN ZIMMERMAN
1	DON SAMUELS	BOB FINE	"BOB ""AGAIN"" CARNEY JR"
1	DON SAMUELS	BILL KAHN	OLE SAVIOR
1	DON SAMUELS	BILL KAHN	MARK V ANDERSON
1	DON SAMUELS	BILL KAHN	CYD GORMAN
1	DON SAMUELS	BILL KAHN	CAM WINTON
1	DON SAMUELS	BETSY HODGES	JOHN LESLIE HARTWIG
1	DON SAMUELS	ALICIA K. BENNETT	undervote
1	DON SAMUELS	ALICIA K. BENNETT	MARK V ANDERSON
1	DON SAMUELS	ALICIA K. BENNETT	KURTIS W. HANNA
1	DON SAMUELS	ALICIA K. BENNETT	JAYMIE KELLY
1	DON SAMUELS	ALICIA K. BENNETT	JAMES EVERETT
1	DON SAMUELS	ALICIA K. BENNETT	GREGG A. IVERSON
1	DON SAMUELS	ALICIA K. BENNETT	DON SAMUELS
1	DON SAMUELS	ALICIA K. BENNETT	CAPTAIN JACK SPARROW
1	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"	undervote
1	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"	TROY BENJEGERDES
1	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"	TONY LANE
1	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"	MIKE GOULD
1	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"	MARK ANDREW
1	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"	JOSHUA REA
1	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"	GREGG A. IVERSON
1	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"	DOUG MANN
1	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"	"ABDUL M RAHAMAN ""THE ROCK"""
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	TONY LANE
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	STEPHANIE WOODRUFF
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	RAHN V. WORKCUFF
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	OLE SAVIOR
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	MIKE GOULD
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	MARK V ANDERSON
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	JOSHUA REA
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	JAYMIE KELLY
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	JAMES EVERETT
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	DON SAMUELS
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	DAN COHEN
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	CYD GORMAN
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	BILL KAHN
1	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""	"ABDUL M RAHAMAN ""THE ROCK"""
1	DAN COHEN	undervote	CHRISTOPHER ROBIN ZIMMERMAN
1	DAN COHEN	overvote	undervote
1	DAN COHEN	UWI	UWI
1	DAN COHEN	TROY BENJEGERDES	MERRILL ANDERSON
1	DAN COHEN	TROY BENJEGERDES	GREGG A. IVERSON
1	DAN COHEN	TROY BENJEGERDES	CAM WINTON
1	DAN COHEN	TROY BENJEGERDES	BOB FINE
1	DAN COHEN	TROY BENJEGERDES	"BOB ""AGAIN"" CARNEY JR"
1	DAN COHEN	TONY LANE	undervote
1	DAN COHEN	TONY LANE	TROY BENJEGERDES
1	DAN COHEN	TONY LANE	OLE SAVIOR
1	DAN COHEN	TONY LANE	MIKE GOULD
1	DAN COHEN	TONY LANE	MARK V ANDERSON
1	DAN COHEN	TONY LANE	JAMES EVERETT
1	DAN COHEN	TONY LANE	DOUG MANN
1	DAN COHEN	TONY LANE	DON SAMUELS
1	DAN COHEN	TONY LANE	BETSY HODGES
1	DAN COHEN	STEPHANIE WOODRUFF	MARK V ANDERSON
1	DAN COHEN	STEPHANIE WOODRUFF	JOHN LESLIE HARTWIG
1	DAN COHEN	STEPHANIE WOODRUFF	JACKIE CHERRYHOMES
1	DAN COHEN	STEPHANIE WOODRUFF	BILL KAHN
1	DAN COHEN	STEPHANIE WOODRUFF	"BOB ""AGAIN"" CARNEY JR"
1	DAN COHEN	RAHN V. WORKCUFF	TONY LANE
1	DAN COHEN	RAHN V. WORKCUFF	STEPHANIE WOODRUFF
1	DAN COHEN	RAHN V. WORKCUFF	OLE SAVIOR
1	DAN COHEN	RAHN V. WORKCUFF	NEAL BAXTER
1	DAN COHEN	RAHN V. WORKCUFF	MARK V ANDERSON
1	DAN COHEN	RAHN V. WORKCUFF	CAPTAIN JACK SPARROW
1	DAN COHEN	OLE SAVIOR	UWI
1	DAN COHEN	OLE SAVIOR	RAHN V. WORKCUFF
1	DAN COHEN	OLE SAVIOR	KURTIS W. HANNA
1	DAN COHEN	OLE SAVIOR	JOSHUA REA
1	DAN COHEN	OLE SAVIOR	JAMES EVERETT
1	DAN COHEN	OLE SAVIOR	DAN COHEN
1	DAN COHEN	OLE SAVIOR	CYD GORMAN
1	DAN COHEN	OLE SAVIOR	"ABDUL M RAHAMAN ""THE ROCK"""
1	DAN COHEN	NEAL BAXTER	TROY BENJEGERDES
1	DAN COHEN	NEAL BAXTER	RAHN V. WORKCUFF
1	DAN COHEN	NEAL BAXTER	MIKE GOULD
1	DAN COHEN	NEAL BAXTER	MARK ANDREW
1	DAN COHEN	NEAL BAXTER	DOUG MANN
1	DAN COHEN	NEAL BAXTER	CYD GORMAN
1	DAN COHEN	NEAL BAXTER	CAM WINTON
1	DAN COHEN	MIKE GOULD	JOHN CHARLES WILSON
1	DAN COHEN	MIKE GOULD	CAM WINTON
1	DAN COHEN	MIKE GOULD	BILL KAHN
1	DAN COHEN	MIKE GOULD	ALICIA K. BENNETT
1	DAN COHEN	MERRILL ANDERSON	DAN COHEN
1	DAN COHEN	MERRILL ANDERSON	CAM WINTON
1	DAN COHEN	MERRILL ANDERSON	BOB FINE
1	DAN COHEN	MERRILL ANDERSON	BETSY HODGES
1	DAN COHEN	MERRILL ANDERSON	ALICIA K. BENNETT
1	DAN COHEN	MARK V ANDERSON	UWI
1	DAN COHEN	MARK V ANDERSON	TROY BENJEGERDES
1	DAN COHEN	MARK V ANDERSON	MARK V ANDERSON
1	DAN COHEN	MARK V ANDERSON	JOSHUA REA
1	DAN COHEN	MARK V ANDERSON	JOHN LESLIE HARTWIG
1	DAN COHEN	MARK V ANDERSON	GREGG A. IVERSON
1	DAN COHEN	MARK V ANDERSON	DOUG MANN
1	DAN COHEN	MARK V ANDERSON	DAN COHEN
1	DAN COHEN	MARK V ANDERSON	CYD GORMAN
1	DAN COHEN	MARK V ANDERSON	CHRISTOPHER ROBIN ZIMMERMAN
1	DAN COHEN	MARK V ANDERSON	"ABDUL M RAHAMAN ""THE ROCK"""
1	DAN COHEN	MARK ANDREW	UWI
1	DAN COHEN	MARK ANDREW	TONY LANE
1	DAN COHEN	MARK ANDREW	OLE SAVIOR
1	DAN COHEN	MARK ANDREW	NEAL BAXTER
1	DAN COHEN	MARK ANDREW	MIKE GOULD
1	DAN COHEN	MARK ANDREW	MARK ANDREW
1	DAN COHEN	MARK ANDREW	JEFFREY ALAN WAGNER
1	DAN COHEN	KURTIS W. HANNA	undervote
1	DAN COHEN	KURTIS W. HANNA	JOSHUA REA
1	DAN COHEN	KURTIS W. HANNA	BETSY HODGES
1	DAN COHEN	KURTIS W. HANNA	"ABDUL M RAHAMAN ""THE ROCK"""
1	DAN COHEN	JOSHUA REA	RAHN V. WORKCUFF
1	DAN COHEN	JOSHUA REA	MERRILL ANDERSON
1	DAN COHEN	JOSHUA REA	JAMES EVERETT
1	DAN COHEN	JOSHUA REA	BOB FINE
1	DAN COHEN	JOSHUA REA	BILL KAHN
1	DAN COHEN	JOHN LESLIE HARTWIG	TROY BENJEGERDES
1	DAN COHEN	JOHN LESLIE HARTWIG	TONY LANE
1	DAN COHEN	JOHN LESLIE HARTWIG	MARK ANDREW
1	DAN COHEN	JOHN LESLIE HARTWIG	JACKIE CHERRYHOMES
1	DAN COHEN	JOHN LESLIE HARTWIG	CYD GORMAN
1	DAN COHEN	JOHN LESLIE HARTWIG	CHRISTOPHER ROBIN ZIMMERMAN
1	DAN COHEN	JOHN LESLIE HARTWIG	CAM WINTON
1	DAN COHEN	JOHN LESLIE HARTWIG	BETSY HODGES
1	DAN COHEN	JOHN CHARLES WILSON	GREGG A. IVERSON
1	DAN COHEN	JOHN CHARLES WILSON	BOB FINE
1	DAN COHEN	JEFFREY ALAN WAGNER	DON SAMUELS
1	DAN COHEN	JEFFREY ALAN WAGNER	CAM WINTON
1	DAN COHEN	JEFFREY ALAN WAGNER	BOB FINE
1	DAN COHEN	JAYMIE KELLY	JOSHUA REA
1	DAN COHEN	JAYMIE KELLY	CAPTAIN JACK SPARROW
1	DAN COHEN	JAYMIE KELLY	BILL KAHN
1	DAN COHEN	JAMES EVERETT	undervote
1	DAN COHEN	JAMES EVERETT	TONY LANE
1	DAN COHEN	JAMES EVERETT	RAHN V. WORKCUFF
1	DAN COHEN	JAMES EVERETT	MERRILL ANDERSON
1	DAN COHEN	JAMES EVERETT	JOSHUA REA
1	DAN COHEN	JAMES EVERETT	GREGG A. IVERSON
1	DAN COHEN	JAMES EVERETT	CHRISTOPHER ROBIN ZIMMERMAN
1	DAN COHEN	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF
